Product_Type,Country_Code,Country_Name,2014,2015,2016,2017,2018,Jan-Mar 18,Jan-Mar 19
Lamb imports,3550,Uruguay,,,,,143,69,
Lamb imports,4099,Denmark,,,,,0,0,
Lamb imports,,Other countries,0,0,0,0,0,0,0
Lamb imports,,"Total
 ",30368,34983,28024,46494,66961,26359,13902
Lamb imports,2010,Mexico,1040,171,471,391,335,98,122
Lamb imports,2410,Jamaica,51,63,11,1,29,3,54
Lamb imports,2470,Dominican Republic,22,30,47,23,2,,
Lamb imports,5880,Japan,,,,61,54,,
Lamb imports,5700,China (Mainland),,,,106,,,
Lamb imports,2360,Bahamas,47,22,7,9,15,3,4
Lamb imports,2430,Turks and Caicos Islands,8,32,14,13,30,10,4
Lamb imports,2774,Sint Marteen,,1,11,81,3,,
Lamb imports,2482,British Virgin Islands,30,,1,,59,,
Lamb imports,2230,Costa Rica,1,6,38,5,38,,
Lamb imports,2779,Aruba,39,12,16,10,10,,2
Lamb imports,2777,Curaco,1,39,40,2,1,,1
Lamb imports,2487,St. Lucia,27,10,8,29,1,,
Lamb imports,2150,Honduras,2,,,67,,,
Lamb imports,2489,Grenada,1,3,55,4,3,1,0
Lamb imports,2720,Barbados,1,10,5,14,26,3,6
Lamb imports,2484,Antigua & Barbuda,7,3,9,4,29,3,24
Lamb imports,5590,Singapore,,,,0,50,,
Lamb imports,2440,Cayman Islands,1,1,25,7,4,1,
Lamb imports,6820,"Micronesia, Federated States",,,,,35,,
Lamb imports,,Other countries,68,26,69,97,62,22,45
Lamb imports,,"Total
 ",1344,428,828,924,788,145,262
Lamb imports,2010,Mexico,2169,1875,1748,1617,1176,314,272
Lamb imports,1220,Canada,1127,374,239,567,350,112,49
Lamb imports,2360,Bahamas,368,396,257,327,501,173,191
Lamb imports,5200,United Arab Emirates,61,22,34,226,797,1,177
Lamb imports,2740,Trinidad and Tobago,92,287,81,160,236,19,89
Lamb imports,2320,Bermuda,13,23,306,221,163,22,63
Lamb imports,2774,Sint Marteen,139,169,144,122,106,8,65
Lamb imports,2410,Jamaica,107,25,28,171,269,5,7
Lamb imports,2250,Panama,210,62,82,113,34,17,10
Lamb imports,4210,Netherlands,18,27,290,84,61,18,21
Lamb imports,2470,Dominican Republic,148,27,26,33,162,20,86
Lamb imports,2779,Aruba,11,23,80,172,107,36,34
Lamb imports,5650,Philippines,149,30,113,43,36,36,7
Lamb imports,2482,British Virgin Islands,66,97,85,75,48,15,15
Lamb imports,2430,Turks and Caicos Islands,70,73,67,49,103,33,17
Lamb imports,2720,Barbados,13,22,126,46,77,31,24
Lamb imports,2230,Costa Rica,13,26,84,86,71,9,13
Lamb imports,5820,Hong Kong,37,23,188,21,6,1,7
Lamb imports,4280,"Germany, Fed. Republic",128,55,3,56,4,,
Lamb imports,4759,Italy,10,22,72,59,41,3,17
Lamb imports,,Other countries,437,389,539,736,682,267,212
